Output Data: 
StormID : AL011851  	Storm Name :                	Date range is : 18510625 - 18510628 	Highest Maximum Knots are : 80  	Date :          	Time of Landfall are :1  
StormID : AL021851  	Storm Name :                	Date range is : 18510705 - 18510705 	Highest Maximum Knots are : 80  	Date :18510705  	Time of Landfall are :0  
StormID : AL031851  	Storm Name :                	Date range is : 18510710 - 18510710 	Highest Maximum Knots are : 50  	Date :18510710  	Time of Landfall are :0  
StormID : AL041851  	Storm Name :                	Date range is : 18510816 - 18510827 	Highest Maximum Knots are : 100 	Date :          	Time of Landfall are :1  
StormID : AL051851  	Storm Name :                	Date range is : 18510913 - 18510916 	Highest Maximum Knots are : 50  	Date :          	Time of Landfall are :0  
StormID : AL061851  	Storm Name :                	Date range is : 18511016 - 18511019 	Highest Maximum Knots are : 60  	Date :          	Time of Landfall are :1  
StormID : AL011852  	Storm Name :                	Date range is : 18520819 - 18520830 	Highest Maximum Knots are : 100 	Date :          	Time of Landfall are :1  
StormID : AL021852  	Storm Name :                	Date range is : 18520905 - 18520906 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL031852  	Storm Name :                	Date range is : 18520909 - 18520913 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :1  
StormID : AL041852  	Storm Name :                	Date range is : 18520922 - 18520930 	Highest Maximum Knots are : 80  	Date :          	Time of Landfall are :0  
StormID : AL051852  	Storm Name :                	Date range is : 18521006 - 18521011 	Highest Maximum Knots are : 90  	Date :          	Time of Landfall are :1  
StormID : AL011853  	Storm Name :                	Date range is : 18530805 - 18530805 	Highest Maximum Knots are : 50  	Date :18530805  	Time of Landfall are :0  
StormID : AL021853  	Storm Name :                	Date range is : 18530810 - 18530810 	Highest Maximum Knots are : 40  	Date :18530810  	Time of Landfall are :0  
StormID : AL031853  	Storm Name :                	Date range is : 18530830 - 18530910 	Highest Maximum Knots are : 130 	Date :          	Time of Landfall are :0  
StormID : AL041853  	Storm Name :                	Date range is : 18530908 - 18530910 	Highest Maximum Knots are : 100 	Date :          	Time of Landfall are :0  
StormID : AL051853  	Storm Name :                	Date range is : 18530921 - 18530921 	Highest Maximum Knots are : 50  	Date :18530921  	Time of Landfall are :0  
StormID : AL061853  	Storm Name :                	Date range is : 18530926 - 18531001 	Highest Maximum Knots are : 70  	Date :          	Time of Landfall are :0  
StormID : AL071853  	Storm Name :                	Date range is : 18530928 - 18530928 	Highest Maximum Knots are : 50  	Date :18530928  	Time of Landfall are :0  
