Detail for each storm on Atlantic Hurricanes:

ID	TotalDistance 	 Max 	 Mean
AL011851	386.94	6.26	5.31
AL021851	N/A	N/A	N/A
AL031851	N/A	N/A	N/A
AL041851	4429.71	30.08	15.67
AL051851	0	0.0	0.0
AL061851	880.27	18.05	10.3
AL011852	2688.69	19.5	10.19
AL021852	508.24	16.65	12.1
AL031852	1117.42	32.17	9.8
AL041852	1807.15	16.41	8.61
AL051852	2434.89	37.75	17.56
AL011853	N/A	N/A	N/A
AL021853	N/A	N/A	N/A
AL031853	5281.71	37.09	18.73
AL041853	1304.74	24.96	19.77
AL051853	N/A	N/A	N/A
AL061853	1131.44	23.51	8.98
AL071853	N/A	N/A	N/A
AL081853	400.94	8.61	5.14
AL011854	585.2	14.66	9.75
AL021854	N/A	N/A	N/A
AL031854	2187.18	30.76	15.34
AL041854	236.04	5.63	4.42
AL051854	800.62	20.39	12.13
AL011855	N/A	N/A	N/A
AL021855	926.69	36.23	30.89
AL031855	N/A	N/A	N/A
AL041855	1151.8	17.14	12.8
AL051855	390.02	10.84	7.3
AL011856	620.43	13.96	7.96
AL021856	558.42	16.65	13.3
AL031856	789.0	19.06	13.13
AL041856	N/A	N/A	N/A
AL051856	3081.88	29.17	13.17
AL061856	363.18	10.81	3.19
AL011857	441.72	13.15	10.52
AL021857	2940.31	29.86	10.65
AL031857	0	0.0	0.0
AL041857	2675.36	21.48	16.5
AL011858	N/A	N/A	N/A
AL021858	N/A	N/A	N/A
AL031858	1741.81	49.36	22.42
AL041858	2714.7	21.63	14.6
AL051858	886.66	17.95	11.37
AL061858	1580.13	18.63	12.54
AL011859	N/A	N/A	N/A
AL021859	542.74	12.67	8.22
AL031859	328.11	12.47	10.94
AL041859	1043.77	40.54	29.0
AL051859	1914.49	44.83	21.27
AL061859	1801.94	29.6	15.81
AL071859	388.97	11.18	7.52
AL081859	1797.59	55.21	13.03
AL011860	1403.65	12.94	7.09
AL021860	963.18	18.09	14.59
AL041860	720.9	13.01	5.74
AL031860	N/A	N/A	N/A
AL051860	1120.85	18.28	12.45
AL061860	774.51	15.58	8.82
AL071860	1336.16	31.8	13.1
AL011861	1612.7	14.2	9.96
AL021861	961.87	14.91	9.43
AL031861	1626.63	19.12	11.79
AL041861	N/A	N/A	N/A
AL051861	1154.66	47.71	39.2
AL061861	1380.26	20.24	15.34
AL071861	N/A	N/A	N/A
AL081861	1259.67	24.1	20.51
AL011862	346.82	7.55	5.25
AL021862	1353.22	35.31	18.8
AL031862	2262.82	30.12	11.43
AL041862	N/A	N/A	N/A
AL051862	929.11	23.52	11.91
AL061862	29.55	1.97	0.38
AL011863	353.73	9.06	8.42
AL021863	535.25	15.02	12.74
AL031863	1513.66	23.38	14.84
AL041863	657.7	19.83	15.66
AL051863	2610.8	21.85	14.04
AL061863	1090.06	38.49	14.41
AL071863	121.78	5.02	4.06
AL081863	378.32	26.8	21.02
